route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1 L12 a,1,L12,Ballywaltrim - Bray Dart Station,,3,,,
1 L14 a,1,L14,Southern Cross Road - Palermo,,3,,,
1 L25,1,L25,Dun Laoghaire - Dundrum Town Centre,,3,,,
1 L53 c,1,L53,Liffey Valley - Adamstown Stn,,3,,,
1 L54 b,1,L54,River Forest - Red Cow Luas,,3,,,
1 L58 b,1,L58,River Forest - Castletown - Hazelhatch Stn,,3,,,
1 L59 b,1,L59,River Forest - Celbridge - Hazelhatch,,3,,,
1 L89 a,1,L89,Broombridge Luas - Toberburr,,3,,,
1 N4,1,N4,Blanchardstown - Point Village,,3,,,
1 P29 c,1,P29,Adamstown Stn - Ringsend,,3,,,
1 S2,1,S2,Sean Moore Road - Heuston Station,,3,,,
1 X1 a,1,X1,Kilcoole - Hawkins Street,,3,,,
1 X2 a,1,X2,Newcastle - Hawkins Street,,3,,,
1 X25 c,1,X25,Maynooth - Easton Rd - UCD,,3,,,
1 X26 c,1,X26,Maynooth - Louisa Bridge - Leeson Street Lower,,3,,,
1 X27 d,1,X27,Salesian College - Aghards Rd - UCD,,3,,,
1 X28 d,1,X28,Salesian College - Celbridge Main St - UCD,,3,,,
1 X30 d,1,X30,Dodsboro - UCD,,3,,,
1 X31 c,1,X31,River Forest - UCD Belfield,,3,,,
1 X32 c,1,X32,Kildare Innovation Campus - UCD Belfield,,3,,,
10000 GREEN g a,10000,Green,Parnell - Brides Glen,,0,,,
10000 RED g a,10000,Red,The Point - Tallaght,,0,,,
1049 193,1049,193,Ashbourne - Dublin,,3,,,
1049 194,1049,194,Ratoath - Dublin,,3,,,
1049 741 a,1049,741,Dublin Airport - Swords,,3,,,
1131 722,1131,722,Killarney - Dublin Airport,,3,,,
1131 723,1131,723,Ennis - Dublin Airport,,3,,,
1135 511 a,1135,511,Rathfarnham - Mount Anville,,3,,,
1178 782,1178,782,Dublin Airport - Heuston Station,,3,,,
1178 784,1178,784,Dublin Airport - City Centre,,3,,,
1178 785 a,1178,785,Belfast - Dublin,,3,,,
1179 853 c,1179,853,Dublin Port - Heuston Station,,3,,,
1179 KL01,1179,KL01,Phibsborough - FoodCentral,,3,,,
1179 KL03,1179,KL03,Santry - FoodCentral,,3,,,
1179 KL04 a,1179,KL04,Tyrrelstown - FoodCentral,,3,,,
1181 BI01 a,1181,BI01,TU Blanchardstown Shuttle Bus,,3,,,
1211 DY01 a,1211,DY01,Kells - Dunboyne,,3,,,
1211 DY02,1211,DY02,Enfield - Dunboyne,,3,,,
135 500 c,135,500,Swords - Eden Quay,,3,,,
135 500N c,135,500N,Eden Quay - Swords,,3,,,
135 500X b,135,500X,Swords - Eden Quay,,3,,,
135 501 b,135,501,Swords - Eden Quay,,3,,,
135 502 b,135,502,Swords - Eden Quay,,3,,,
135 503 b,135,503,Swords - Merrion Square,,3,,,
135 505 b,135,505,Swords - Eden Quay,,3,,,
135 505X c,135,505X,Eden Quay - Swords,,3,,,
135 506 c,135,506,Eden Quay - Swords,,3,,,
135 506X b,135,506X,Swords - Eden Quay,,3,,,
135 507 b,135,507,Swords - Eden Quay,,3,,,
2 100X c b,2,100X,Wilton Tce - Airport - Dundalk,,3,,,
2 101 d a,2,101,Dublin - Airport - Drogheda,,3,,,
2 101X c a,2,101X,Wilton Tce - Drogheda - Termon Abbey,,3,,,
2 103 c a,2,103,Dublin - Ashbourne - Ratoath,,3,,,
2 103X c a,2,103X,Dublin - Ashbourne - Duleek - Navan,,3,,,
2 105 c a,2,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
2 105X c a,2,105X,UCD - M3 - Ratoath - Ashbourne,,3,,,
2 109 d,2,109,Dublin - Navan - Kells - Cavan,,3,,,
2 109A c b,2,109A,DCU - Airport - Ratoath - Navan,,3,,,
2 109B d,2,109B,Dublin - Dunshaughlin - Trim,,3,,,
2 109X d,2,109X,Dublin - Kells - Cavan Hourly Express,,3,,,
2 111 d,2,111,Wilton Tce - Trim - Granard - Cavan,,3,,,
2 111X c a,2,111X,Dublin express - Athboy - Clonmellon,,3,,,
2 115 c a,2,115,Dublin - Mullingar,,3,,,
2 115C d,2,115C,Enfield - Killucan - Mullingar,,3,,,
2 115X a,2,115X,Connolly Station - Mullingar Stn,,3,,,
2 131 a,2,131,Bray - Wicklow,,3,,,
2 132 d,2,132,Dublin - Carnew - Bunclody,,3,,,
2 133 e,2,133,Dublin - Wicklow,,3,,,
2 2 c b,2,2,Dublin Airport - Gorey - Wexford,,3,,,
2 22 d,2,22,Dublin - Airport - Longford - Ballina,,3,,,
2 23 e,2,23,Dublin - Airport - Longford - Sligo,,3,,,
2 245X d,2,245X,Busaras - Fermoy - Cork,,3,,,
2 30 d,2,30,Dublin - Airport - Cavan - Donegal,,3,,,
2 32 d,2,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
2 B1 c a,2,B1,Rail Station - Millfield Centre,,3,,,
2 NX c a,2,NX,Dublin Wilton Terrace - Navan,,3,,,
240 845 c,240,845,Birr - Dublin,,3,,,
240 847 c,240,847,Portumna - Dublin,,3,,,
290 181 d,290,181,Glendalough - Dublin,,3,,,
293 139 m,293,139,Blanchardstown - Naas,,3,,,
293 717 m,293,717,Clonmel - Kilkenny - Dublin Airport,,3,,,
293 735 m,293,735,Limerick - Dublin Airport,,3,,,
293 736 m,293,736,Dublin Airport - Waterford City,,3,,,
293 GD02,293,GD02,Waterford - Carlow - Dublin,,3,,,
3 102 d a,3,102,Dublin Airport - Sutton DART,,3,,,
3 102A d a,3,102A,Swords - Sutton,,3,,,
3 102C d a,3,102C,Balgriffin - Sutton,,3,,,
3 102P d a,3,102P,Swords - Portmarnock,,3,,,
3 102T d a,3,102T,Swords - Sutton,,3,,,
3 104 d a,3,104,Clontarf Station - DCU (The Helix),,3,,,
3 111 e a,3,111,Brides Glen - Kilbogget Pk,,3,,,
3 114 d a,3,114,Ticknock - Blackrock,,3,,,
3 161 d a,3,161,Rockbrook - Dundrum,,3,,,
3 185T d a,3,185T,Enniskerry - Bray,,3,,,
3 197,3,197,"Airside Ind. Estate, stop 7210 - Ashbourne Retail",,3,,,
3 220 d a,3,220,DCU (The Helix) - Lady's Well Road,,3,,,
3 220A d a,3,220A,DCU (The Helix) - Lady's Well Road,,3,,,
3 220T d a,3,220T,Collins Avenue West - Finglas Garda Stn,,3,,,
3 236 d a,3,236,Blanchardstown - IBM Campus,,3,,,
3 236A d a,3,236A,Blanchardstown - IBM Campus,,3,,,
3 236T d a,3,236T,Scoil Oilibheir - Tyrrelstown,,3,,,
3 238 d a,3,238,Tyrrelstown - Mulhuddart,,3,,,
3 270 d b,3,270,Dunboyne - Blanchardstown,,3,,,
3 270T d a,3,270T,Castaheany Estate - Castleknock Community College,,3,,,
3 33A d a,3,33A,Dublin Airport - Balbriggan,,3,,,
3 33B d a,3,33B,Swords - Portrane,,3,,,
3 33T d a,3,33T,Skerries - Donabate,,3,,,
3 45A d a,3,45A,Kilmacanogue - Dun Laoghaire,,3,,,
3 45B d a,3,45B,Kilmacanogue - Dun Laoghaire,,3,,,
3 59 d a,3,59,Dun Laoghaire - Killiney Hill Park,,3,,,
3 73 a,3,73,Kilnamanagh Road - Griffith Avenue East,,3,,,
3 L1 a,3,L1,Newcastle Hospital - Bray Station,,3,,,
3 L15 a,3,L15,Bray Station - Enniskerry,,3,,,
3 L2 a,3,L2,"Sea Road, Newcastle - Bray Station",,3,,,
3 L26 a,3,L26,Blackrock Station - Kilternan Village,,3,,,
3 L27 a,3,L27,Dun Laoghaire Stn - Leopardstown Valley,,3,,,
3 L3 a,3,L3,Glenbrook Park - The Nurseries,,3,,,
3 L51 c,3,L51,Liffey Valley SC - Adamstown Station,,3,,,
3 L52 b a,3,L52,Blanchardstown SC - Adamstown Station,,3,,,
3 L55 a,3,L55,Hollyville Lawn - Glenaulin,,3,,,
3 N2 a,3,N2,Clontarf Station - Heuston Train Stn,,3,,,
3 N6,3,N6,Finglas Village - Naomh Barróg GAA,,3,,,
3 S4 a,3,S4,Liffey Valley - UCD,,3,,,
3 S6 a,3,S6,The Square - Blackrock Station,,3,,,
3 S8 a,3,S8,Kingswood Avenue - Dun Laoghaire Stn,,3,,,
3 W2 a,3,W2,The Square - Liffey Valley SC,,3,,,
3 W4 a,3,W4,The Square - Blanchardstown SC,,3,,,
3 W6 a,3,W6,Community College - The Square,,3,,,
429 UM08 a,429,UM08,Dundrum - Maynooth,,3,,,
526 660 d,526,660,Galway - Dublin,,3,,,
526 707 b,526,707,Cork City - Dublin - Dublin Airport,,3,,,
526 712 a,526,712,Ennis - Limerick - Dublin Airport,,3,,,
526 721 a,526,721,Castlebar - Dublin Airport,,3,,,
526 760 b,526,760,Galway - Dublin Airport,,3,,,
526 761 b,526,761,Galway - Dublin - Dublin Airport,,3,,,
526 763 b,526,763,Dublin Airport - Athlone - Galway,,3,,,
573 900 c,573,900,Dundalk - Dublin,,3,,,
573 901 b,573,901,Dundalk - Drogheda - Dublin,,3,,,
573 901M,573,901M,Drogheda - Dublin,,3,,,
573 910 b,573,910,Bettystown - Laytown - Dublin,,3,,,
573 912 b,573,912,Bettystown - Laytown - Dublin,,3,,,
587 740,587,740,Wexford - Dublin Airport,,3,,,
587 740A,587,740A,Gorey - Dublin Airport,,3,,,
587 740X,587,740X,Wexford - Dublin Airport,,3,,,
587 UM11 a,587,UM11,Gorey - Wicklow - Maynooth,,3,,,
609 932,609,932,Anagaire - Letterkenny - Dublin,,3,,,
609 932A c,609,932A,Anagaire - Letterkenny - Dublin,,3,,,
609 933,609,933,Moville - Derry - Dublin,,3,,,
609 933A,609,933A,Moville - Derry - Dublin,,3,,,
663 700,663,700,Dublin Airport - Leopardstown,,3,,,
663 700X a,663,700X,Dublin Airport - City Centre,,3,,,
663 702 a,663,702,Dublin Airport - Dalkey,,3,,,
663 704x a,663,704x,Cork - Dublin Airport,,3,,,
663 705x a,663,705x,Dublin - Derry/Londonderry,,3,,,
685 UM03 a,685,UM03,Dundalk - Drogheda - Maynooth,,3,,,
685 UM05 a,685,UM05,Cavan - Maynooth University,,3,,,
690 180 b,690,180,Clones - Monaghan - Dublin,,3,,,
690 GD01,690,GD01,UCD - Monaghan,,3,,,
707 BR01 a,707,BR01,Gorey - Bray,,3,,,
866 980 b,866,980,Carrickmacross - Dublin,,3,,,
866 980A d,866,980A,Carrickmacross - Dublin,,3,,,
866 980B d,866,980B,Carrickmacross - Dublin,,3,,,
870 300 a b,870,300,Ennis/Killarney/Tralee - Dublin,,3,,,
870 600 c,870,600,Cork - Waterford - Dublin,,3,,,
870 726 a,870,726,Portlaoise - Dublin Airport,,3,,,
870 750 b,870,750,Dundrum - Dublin Airport,,3,,,
999 786,999,786,Hilton Hotel - Dublin Airport,,3,,,
999 787 a,999,787,Travelodge Ballymun - Dublin Airport,,3,,,
999 836 a,999,836,O'Connell Street - Blanchardstown,,3,,,
999 860 c a,999,860,Aston Quay - Park West,,3,,,
999 870 a,999,870,O'Connell Street Upper - Damastown IBM,,3,,,
BRAY-HOWTH-I,IR,DART,Bray - Howth,,2,,,
Carolan 191 b,Carolan,191,Stamullen - Dublin,,3,,,
DUB-BFT-I,IR,rail,Belfast - Dublin,,2,,,
DUB-BFT-O,IR,rail,Dublin - Belfast,,2,,,
DUB-CORK-O,IR,InterCity,Dublin - Cork,,2,,,
DUB-DRO/DUN-O,IR,rail,Dublin - Drogheda/Dundalk,,2,,,
DUB-EUROPORT-I,IR,rail,Dublin - Europort,,2,,,
DUB-GALWAY-O,IR,rail,Dublin - Galway,,2,,,
DUB-LIMERICK-I,IR,rail,Dublin - Limerick,,2,,,
DUB-MAYNOOTH-O,IR,rail,Dublin - Maynooth,,2,,,
DUB-PORTLAOIS-O,IR,Commuter,Dublin - Portlaoise,,2,,,
DUB-SLIGO-O,IR,rail,Dublin - Sligo,,2,,,
DUB-TRALEE-O,IR,rail,Dublin - Tralee,,2,,,
DUB-WATERFORD-I,IR,rail,Dublin - Waterford,,2,,,
DUB-WESTPORT-I,IR,rail,Dublin - Westport,,2,,,
LLCWKK 885 a,LLCWKK,885,Baltinglass - Sallins,,3,,,
LLCWKK 895 a,LLCWKK,895,Sallins - Glendalough,,3,,,
LLKE SD3 a,LLKE,SD3,Tallaght - Bohernabreena,,3,,,
LLKE SD4 a,LLKE,SD4,Tallaght - Tibradden,,3,,,
LLLMF 188 a,LLLMF,188,Athboy - Navan - Drogheda,,3,,,
LLLMF 192 a,LLLMF,192,Swords - Balbriggan,,3,,,
LLLMF 195 b,LLLMF,195,Balbriggan - Ashbourne,,3,,,
LLLMF 196 b,LLLMF,196,Knocksedan - Swords,,3,,,
NTLK 29n,NTLK,29n,"Dublin City South, D'Olier Street - Baldoyle, Warrenhouse Road",,3,,,
NTLK 31n,NTLK,31n,"Dublin City South, D'Olier Street - Howth, Outside Train Station",,3,,,
NTLK 33n,NTLK,33n,Westmoreland Street - Balbriggan,,3,,,
NTLK 42n a,NTLK,42n,"Dublin City South, D'Olier Street - Portmarnock, Strand Road (St.Anne's Estate)",,3,,,
NTLK 46n a,NTLK,46n,"Dublin City South, D'Olier Street - Dundrum, Outside Luas Station",,3,,,
NTLK 49n,NTLK,49n,D'Olier Street - Kilnamanagh,,3,,,
NTLK 69n,NTLK,69n,"Dublin City South, Westmoreland Street - Saggart,",,3,,,
NTLK 70n,NTLK,70n,Westmoreland Street - Tyrrelstown,,3,,,
NTLK 77n,NTLK,77n,D'Olier Street - Citywest,,3,,,
NTLK 7n,NTLK,7n,"Dublin City South, D'Olier Street - Dún Laoghaire-Rathdown, Woodbrook Golf Club",,3,,,
NTLK 84n,NTLK,84n,"Dublin City South, D'Olier Street - Charlesland",,3,,,
NTLK 88n,NTLK,88n,"Dublin City South, Westmoreland Street - Ashbourne, Ashbourne Kelly's",,3,,,
